NUVA,label,comment,abstract,instanceOf
VAC0093,VACCIN DT TAB PASTEUR,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), typhoïdique (entier inactivé) et paratyphoïdique A et B (entier inactivé)",False,VAC1225
VAC0094,VACCIN SABIN POLIO ORAL,"Vaccin poliomyélitique (vivant atténué, trivalent) contre les poliovirus 1, 2 et 3, par voie orale",False,VAC0320
VAC0095,VACCIN TAB PASTEUR,"Vaccin typhoïdique et paratyphoïdique A et B, entier inactivé",False,VAC0818
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0097,VACCIN LEPTOSPIRES ICTEROHEMORRAGIAE PASTEUR,Vaccin entier inactivé contre la leptospirose,False,VAC0148
VAC0098,HEXAVAC,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard), anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique), poliomyélitique (entier inactivé, trivalent) et de l’hépatite B (recombinant), adsorbé",False,VAC1121
VAC0099,MENINVACT,Vaccin méningococcique polyosidique conjugué contre le sérogroupe C,False,VAC1211
VAC0101,"Vaccin Hépatite B, recombinant, sans précision","Vaccin recombinant contre le virus de l'hépatite B, dose non précisée",True,
VAC0102,"Vaccin Hépatite A inactivé, sans précision",Vaccin entier inactivé contre l'hépatite A,True,
VAC0103,MENACTRA,"Vaccin méningococcique polyosidique conjugué quadrivalent contre les sérogroupes A, C, W et Y (conjugué à l'anatoxine diphtérique)",False,VAC1153
VAC0104,HUMENZA,Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé,False,VAC0147
VAC0105,PANENZA,Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé,False,VAC0147
VAC0106,Q-Pan H1N1,Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé,False,VAC0147
VAC0107,CELVAPAN,"Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09, à virion entier inactivé",False,VAC0147
VAC0108,PANDEMRIX,Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé,False,VAC0147
VAC0109,FOCETRIA (unidose),"Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé, cultivé sur oeuf, à antigènes de surface, avec adjuvant",False,VAC0147
VAC0110,"Vaccin Grippe, sans précision",Vaccin contre la grippe saisonnière,True,
VAC0111,"Vaccin Fièvre jaune, sans précision",Vaccin vivant atténué contre la fièvre jaune,True,
VAC0112,"Vaccin Typhoïde, sans précision","Typhoid vaccine, unspecified",True,
VAC0113,"Vaccin rubéole, vivant atténué, sans précision",Vaccin vivant atténué contre la rubéole,True,
VAC0114,"Vaccin Rougeole, vivant atténué, sans précision",Vaccin vivant atténué contre la rougeole,True,
VAC0115,AVAXIM 80 U,"Vaccin entier inactivé contre l'hépatite A, dose pédiatrique",False,VAC0911
VAC0116,R.O.R SANOFI PASTEUR,"Vaccin vivant atténué contre la rougeole, les oreillons et la rubéole",False,VAC0130
VAC0120,VACCIN VARICELLE MERIEUX,Vaccin vivant atténué contre la varicelle,False,VAC0159
VAC0121,PRIORIX-TETRA,"Vaccin vivant atténué contre la rougeole, la rubéole, les oreillons et la varicelle",False,VAC0827
VAC0123,PREVENAR 13,"Vaccin pneumococcique polyosidique conjugué, 13-valent, adsorbé, sérotypes 1, 3, 4 , 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F et 23F",False,VAC0997
VAC0124,FOCETRIA (multidose),"Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé, cultivé sur oeuf, à antigène de surface, avec adjuvant",False,VAC0147
VAC0125,AREPANRIX,"Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé, virion fragmenté",False,VAC0147
VAC0126,HEVAC B,Vaccin plasmatique contre l'hépatite B (premier vaccin français),False,VAC1125
VAC0127,HB VAX DNA 5 µg,"Vaccin recombinant contre l'hépatite B, dose pédiatrique",False,VAC1227
VAC0128,HB VAX DNA 10 µg,"Vaccin recombinant contre l'hépatite B, dosé à 10 microgrammes d'antigène HBs (bien que dosé à 10 µg, ce vaccin est indiqué à partir de l'âge de 16 ans)",False,VAC0914
VAC0129,HB VAX DNA 40 µg,"Vaccin recombinant contre l'hépatite B, dose pour patient dyalisé",False,VAC0916
VAC0130,"Vaccin ROR Rougeole-Oreillons-Rubéole, sans précision","Vaccin vivant atténué contre la rougeole, les oreillons et la rubéole",True,
VAC0131,"Vaccin Rage, sans précision",Vaccin rabique entier inactivé,True,
VAC0132,"Vaccin Tétanos, sans précision",Vaccin tétanique (anatoxine),True,
VAC0133,"Vaccin Variole, sans précision",Vaccin vivant atténué contre la variole,True,
VAC0134,"Vaccin BCG, sans précision",Vaccin contre la tuberculose (vivant atténué),True,
VAC0135,"Vaccin Poliomyélite, sans précision","Vaccin poliomyélitique, vivant ou inactivé (sans précision)",True,
VAC0136,"Vaccin DTCe - Diphtérie-Tétanos-Coqueluche, sans précision","Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (entier inactivé)",True,
VAC0137,"Vaccin Diphtérie et Tétanos, sans précision","Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",True,
VAC0138,"Vaccin DiphTPCoq - Diphtérie-Tétanos-Coqueluche-Polio, sans précision","Vaccin diphtérique (anatoxine, dose non précisée), tétanique (anatoxine), coquelucheux (acellulaire ou entier inactivé, dose non précisée) et poliomyélitique (entier inactivé, trivalent)",True,
VAC0139,PENT-HIBEST,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (entier inactivé), anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique) et poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC1126
VAC0140,INTANZA,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté, par voie intradermique",False,VAC0925
VAC0141,MENVEO,"Vaccin méningococcique polyosidique conjugué quadrivalent contre les sérogroupes A, C, W et Y (conjugué à la protéine CRM 197)",False,VAC1133
VAC0143,"Vaccin Haemophilus influenzae B, sans précision","Vaccin anti-Haemophilus influenzae type b (conjugué, sans précision)",True,
VAC0144,"Vaccin Choléra, sans précision","Cholera vaccine, unspecified",True,
VAC0145,"Vaccin Encéphalite à tiques, sans précision","Vaccin entier inactivé contre l'encéphalite à tiques, souche non précisée",True,
VAC0146,"Vaccin Encéphalite Japonaise vivant atténué 14-14-2, sans précision","Vaccin vivant atténué contre l'encéphalite japonaise, souche 14-14-2",True,
VAC0147,"Vaccin Grippe A(H1N1)2009, sans précision",Vaccin contre la grippe pandémique à virus influenza A(H1N1)pdm09 inactivé,True,
VAC0148,"Vaccin Leptospirose, sans précision",Vaccin entier inactivé contre la leptospirose,True,
VAC0149,"Vaccin Méningocoque B:14:P1.7,16, sans précision","Vaccin contre les méningocoques du sérogroupe B (à protéines de vésicules de membrane externe B:14:P1.7,16)",True,
VAC0150,"Vaccin Méningocoque C conjugué, sans précision",Vaccin polyosidique conjugué contre les méningocoques du sérogroupe C,True,
VAC0151,"Vaccin Méningocoques A + C, sans précision",Vaccin polyosidique non conjugué contre les méningocoques des sérogroupes A et C,True,
VAC0152,"Vaccin Méningocoques ACWY non conjugué, sans précision","Vaccin polyosidique non conjugué contre les méningocoques des sérogroupes A, C, W et Y",True,
VAC0153,"Vaccin Oreillons, sans précision",Vaccin vivant atténué contre les oreillons,True,
VAC0154,"Vaccin Paludisme, sans précision",Vaccin contre le paludisme (utilisé dans des essais cliniques),True,
VAC0155,"Vaccin Dengue, sans précision","Dengue vaccine, unspecified",True,
VAC0156,"Vaccin HPV, sans précision",Vaccin contre les papillomavirus humains,True,
VAC0157,"Vaccin Pneumocoque, sans précision","Vaccin pneumococcique, polyoside conjugué ou non, nombre de sérotypes non précisé",True,
VAC0158,"Vaccin Rotavirus, sans précision",Vaccin contre les rotavirus,True,
VAC0159,"Vaccin Varicelle, sans précision",Vaccin vivant atténué contre la varicelle,True,
