NUVA,label,comment,abstract,instanceOf
VAC0311,MUMATEN BERNA PRODUCTSNA,Live attenuated mumps vaccine,False,VAC0153
VAC0312,MUMPS LIVE,Live attenuated mumps vaccine,False,VAC0153
VAC0313,MUMPS inactivated,Whole virion Inactivated mumps vaccine,False,VAC1154
VAC0315,MUMPSVAX,Live attenuated mumps vaccine,False,VAC0153
VAC0317,NABI-HB,Hepatitis B immunoglobulin,False,VAC0863
VAC0318,NOTHAV,Inactivated hepatitis A vaccine,False,VAC0102
VAC0319,OMNIHIB,"Haemophilus influenzae type b vaccine, capsular polysaccharide (polyribosylribitol phosphate, PRP) conjugated to tetanus toxoid",False,VAC0345
VAC0320,"OPV 1-2-3, unspecified","Szczepionka przeciwko polio (żywa, atenuowana, trójwartościowa) przeciwko poliovirusom 1, 2 i 3, doustna",True,
VAC0321,ORIMUNE,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False,VAC0320
VAC0322,PARIORIX,Live attenuated mumps vaccine,False,VAC0153
VAC0323,PAVIVAC-SEVAC,Live attenuated measles vaccine,False,VAC0114
VAC0324,"Pneumococcal conjugate vaccine, 7 valent, unspecified","Pneumokokowa polisacharydowa szczepionka skoniugowana, 7-walentna, serotypy 4, 6B, 9V, 14, 18C, 19F i 23F",True,
VAC0325,PEDIARIX,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine",False,VAC1174
VAC0326,PEDVAXHIB,"Haemophilus influenzae type b vaccine, capsular polysaccharide (polyribosylribitol phosphate, PRP) conjugated to outer membrane protein of Neisseria meningitidis serogroup B",False,VAC0344
VAC0327,PENTA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1115
VAC0328,PENTACEL,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1115
VAC0330,PENTACT-HIB,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1126
VAC0332,PENTAVALENTE,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and hepatitis B (recombinant) pediatric vaccine",False,VAC1181
VAC0333,PFIZER VAX-MEASLES K,"Whole inactivated measles vaccine, old",False,VAC1209
VAC0334,PFIZER-VAX MEASLES-L,Live attenuated measles vaccine,False,VAC0114
VAC0335,PLUSERIX,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0336,PNEUMOVAX,"Unconjugated pneumococcal polysaccharide vaccine, 23-valent, serotypes 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F and 33F",False,VAC0339
VAC0337,PNU-IMUNE 23,"Unconjugated pneumococcal polysaccharide vaccine, 23-valent, serotypes 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F and 33F",False,VAC0339
VAC0338,POLIACEL,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1115
VAC0339,"Pneumococcal polysaccharide vaccine 23-valent, unspecified","Pneumokokowa polisacharydowa szczepionka nieskoniugowana, 23-walentna",True,
VAC0341,PREVNAR,"Pneumococcal polysaccharide conjugate vaccine, 7-valent, adsorbed, serotypes 4, 6B, 9V, 14, 18C, 19F and 23F",False,VAC0324
VAC0343,PROHIBIT,Haemophilus influenzae type b conjugate vaccine (PRP-D),False,VAC0918
