SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-1296677004,VAC0915,"Hepatitis B high dose recombinant surface antigen only vaccine product","Hepatitis B vaccine, monovalent, adult dose, unspecified"
SNOMED-CT-1296678009,VAC1145,"3 antigen Hepatitis B recombinant surface only vaccine product","Hepatitis B recombinant vaccine, three antigens, unspecified"
SNOMED-CT-1296753004,VAC0653,"Pediatric vaccine inactivated whole Hepatitis A and Hepatitis B surface antigens only vaccine product","Hepatitis A + Hepatitis B vaccine Child, unspecified"
SNOMED-CT-1296864005,VAC0914,"Pediatric Hepatitis B recombinant adsorbed surface antigen only vaccine product","Hepatitis B vaccine, monovalent, pediatric dose, unspecified"
SNOMED-CT-1297215000,VAC0113,"Live attenuated Rubella virus antigen only vaccine product","Rubella vaccine, live attenuated, unspecified"
SNOMED-CT-1297217008,VAC0602,"Paediatric acellular Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid antigens only vaccine product","DTaP - Diphtheria-Tetanus-Pertussis vaccine, standard dose, unspecified"
SNOMED-CT-1304283008,VAC0101,"Hepatitis B recombinant surface antigen only vaccine product","Hepatitis B vaccine, recombinant, unspecified"
SNOMED-CT-1345036005,VAC1198,"Live attenuated Chikungunya virus antigen only vaccine product","Chinkungunya vaccine, live attenuated, unspecified"
SNOMED-CT-1345042009,VAC1277,"Chikungunya virus antigen-containing vaccine product","Chikungunya vaccine, unspecified"
SNOMED-CT-1345202008,VAC1277,"Chikungunya virus antigen only vaccine product","Chikungunya vaccine, unspecified"
SNOMED-CT-1360050007,VAC1280,"Streptococcus pneumoniae Danish serotype 3, 6A, 7F, 8, 9N, 10A, 11A, 12F, 15A, de-O-acetylated 15B, 16F, 17F, 19A, 20A, 22F, 23A, 23B, 24F, 31, 33F, 35B capsular polysaccharide antigens conjugated only vaccine product","Pneumococcal conjugate vaccine, 21-valent, adsorbed, serotypes 3, 6A, 7F, 8, 9N, 10A, 11A, 12F, 15A, 15B, 15C, 16F, 17F, 19A, 20A, 22F, 23A, 23B, 24F, 31, 33F, 35B"
SNOMED-CT-1362134008,VAC1213,"Inactivated whole Vibrio cholerae and Vibrio cholerae recombinant toxin B subunit antigens only vaccine product in oral dose form","Cholera vaccine containing recombinant cholera toxin B subunit and inactivated whole V. cholerae O1 bacteria, unspecified"
SNOMED-CT-1381704004,#MISS,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens only vaccine product",
SNOMED-CT-1382083004,#MISS,"Neisseria meningitidis serogroup A, C, and W capsular polysaccharide unconjugated antigens only vaccine product",
SNOMED-CT-1396376000,#MISS,"Neisseria meningitidis serogroup B and C antigens only vaccine product",
SNOMED-CT-1397103008,#MISS,"Influenza virus mRNA only vaccine product",
SNOMED-CT-1397260000,#MISS,"Virus mRNA-containing vaccine product",
SNOMED-CT-1397261001,#MISS,"Streptococcus agalactiae antigen only vaccine product",
SNOMED-CT-1397266006,#MISS,"Neisseria meningitidis serogroup A, B, C, W and Y antigens only vaccine product",
SNOMED-CT-1397307002,#MISS,"Streptococcus agalactiae antigen-containing vaccine product",
SNOMED-CT-1397308007,#MISS,"Influenza virus mRNA-containing vaccine product",
SNOMED-CT-1397313006,#MISS,"Live attenuated Human poliovirus serotype 1, 2 and 3 antigens only vaccine product",
SNOMED-CT-1397320004,#MISS,"Orthopneumovirus hominis mRNA only vaccine product",
SNOMED-CT-1399530002,#MISS,"Inactivated whole cell Bordetella pertussis antigen only vaccine product",
SNOMED-CT-1399557000,#MISS,"Salmonella enterica subspecies enterica serovar Paratyphi A and Salmonella enterica subspecies enterica serovar Paratyphi B and Salmonella enterica subspecies enterica serovar Typhi antigens only vaccine product",
SNOMED-CT-1399580008,#MISS,"Salmonella enterica subspecies enterica serovar Paratyphi B antigen-containing product",
