CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-324965-01,VAC0514,"Rotarix susp. buv. applic. préremplie or.","ROTARIX"
CTI-EXTEND-324983-01,VAC0514,"Rotarix susp. buv. applic. préremplie or.","ROTARIX"
CTI-EXTEND-324956-02,VAC0514,"Rotarix susp. buv. applic. préremplie or.","ROTARIX"
CTI-EXTEND-288897-01,VAC0031,"RotaTeq sol. buv.","ROTATEQ"
CTI-EXTEND-288881-01,VAC0031,"RotaTeq sol. buv.","ROTATEQ"
CTI-EXTEND-288881-02,VAC0031,"RotaTeq sol. buv.","ROTATEQ"
CTI-EXTEND-288881-04,VAC0031,"RotaTeq sol. buv.","ROTATEQ"
CTI-EXTEND-288881-03,VAC0031,"RotaTeq sol. buv.","ROTATEQ"
CTI-EXTEND-588000-02,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. amp. flac.","VARILRIX"
CTI-EXTEND-255954-01,VAC0061,"Varivax susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARIVAX"
CTI-EXTEND-255954-02,VAC0061,"Varivax susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARIVAX"
CTI-EXTEND-255954-05,VAC0061,"Varivax susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARIVAX"
CTI-EXTEND-255954-06,VAC0061,"Varivax susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARIVAX"
CTI-EXTEND-129026-01,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARILRIX"
CTI-EXTEND-129026-06,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARILRIX"
CTI-EXTEND-129026-03,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARILRIX"
CTI-EXTEND-129026-07,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARILRIX"
CTI-EXTEND-129026-04,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARILRIX"
CTI-EXTEND-129026-05,VAC0060,"Varilrix sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","VARILRIX"
CTI-EXTEND-529093-01,VAC0567,"Shingrix susp. inj. (pdr. + susp.) i.m. flac.","SHINGRIX"
CTI-EXTEND-529191-01,VAC0567,"Shingrix susp. inj. (pdr. + susp.) i.m. flac.","SHINGRIX"
CTI-EXTEND-529093-02,VAC0567,"Shingrix susp. inj. (pdr. + susp.) i.m. flac.","SHINGRIX"
CTI-EXTEND-665502-01,#MISS,"Shingrix susp. inj. i.m. ser. préremplie",
CTI-EXTEND-665503-01,#MISS,"Shingrix susp. inj. i.m. ser. préremplie",
CTI-EXTEND-185062-01,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-03,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-02,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-05,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-06,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-07,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-08,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-09,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-185062-04,VAC0035,"Stamaril susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","STAMARIL"
CTI-EXTEND-288486-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-288617-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-288452-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-288495-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-288477-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-288461-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-323696-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-323714-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-323705-01,VAC0007,"Gardasil susp. inj. i.m. ser. préremplie","GARDASIL"
CTI-EXTEND-323687-01,VAC0007,"Gardasil susp. inj. i.m. flac.","GARDASIL"
CTI-EXTEND-288443-01,VAC0007,"Gardasil susp. inj. i.m. flac.","GARDASIL"
CTI-EXTEND-288434-01,VAC0007,"Gardasil susp. inj. i.m. flac.","GARDASIL"
CTI-EXTEND-331755-01,VAC0044,"Cervarix susp. inj. i.m. flac.","CERVARIX"
CTI-EXTEND-331737-01,VAC0044,"Cervarix susp. inj. i.m. flac.","CERVARIX"
CTI-EXTEND-331746-01,VAC0044,"Cervarix susp. inj. i.m. flac.","CERVARIX"
CTI-EXTEND-303484-01,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303527-01,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303502-01,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303493-02,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303493-01,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303536-01,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303511-01,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303484-02,VAC0044,"Cervarix susp. inj. i.m. ser. préremplie","CERVARIX"
CTI-EXTEND-303457-01,VAC0044,"Cervarix susp. inj. i.m. flac.","CERVARIX"
CTI-EXTEND-303466-01,VAC0044,"Cervarix susp. inj. i.m. flac.","CERVARIX"
CTI-EXTEND-303475-01,VAC0044,"Cervarix susp. inj. i.m. flac.","CERVARIX"
CTI-EXTEND-581235-01,VAC0523,"Gardasil 9 susp. inj. i.m. ser. préremplie","GARDASIL 9"
CTI-EXTEND-476186-01,VAC0523,"Gardasil 9 susp. inj. i.m. ser. préremplie","GARDASIL 9"
CTI-EXTEND-476195-01,VAC0523,"Gardasil 9 susp. inj. i.m. ser. préremplie","GARDASIL 9"
CTI-EXTEND-475946-01,VAC0523,"Gardasil 9 susp. inj. i.m. flac.","GARDASIL 9"
CTI-EXTEND-666237-01,#MISS,"Gardasil 9 susp. inj. i.m. récip. multidos.",
CTI-EXTEND-662865-01,VAC1258,"Comirnaty JN.1 30 µg/dose disp. inj. i.m. flac.","COMIRNATY JN.1 30 µg"
CTI-EXTEND-662867-01,VAC1258,"Comirnaty JN.1 30 µg/dose disp. inj. i.m. flac.","COMIRNATY JN.1 30 µg"
CTI-EXTEND-664550-01,#MISS,"Comirnaty JN.1 30 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-662868-01,VAC1258,"Comirnaty JN.1 30 µg/dose disp. inj. i.m. ser. préremplie","COMIRNATY JN.1 30 µg"
